Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
3S Group,Новая Москва,Москва,Москва,НАО,Сосенское,ЖК Forevill (Форэвилль),3S Group,https://t.me/JKForeville,https://t.me/JKForeville,Москва чаты,Москва чаты:184,main,medium,,zhk-forevill-forevill,3s-group,moskva,moskva,sosenskoe
45-й Квартал,Другой город/регион,Свердловская область,Екатеринбург,,,Твоя ПривилегияЯ,45-й Квартал,https://t.me/JKTvoyaprivilegiya,https://t.me/JKTvoyaprivilegiya,Екатеринбург чаты,Екатеринбург чаты:10,main,high,,tvoya-privilegiyaya,45-i-kvartal,sverdlovskaya-oblast,ekaterinburg,
5 Донской,Москва,Москва,Москва,ЮАО,Даниловский,ЖК Five Towers,5 Донской,https://t.me/ZhKFiveTowersSosedi,https://t.me/ZhKFiveTowersSosedi,Москва чаты,Москва чаты:194,main,high,,zhk-five-towers,5-donskoi,moskva,moskva,danilovskiy
5 Донской,Москва,Москва,Москва,ЮАО,Донской,ЖК The Five (Зе Файв),5 Донской,https://t.me/TheFiveSob,https://t.me/TheFiveSob,Москва чаты,Москва чаты:202,main,high,,zhk-the-five-ze-fayv,5-donskoi,moskva,moskva,donskoy
AEON Development,Москва,Москва,Москва,ЗАО,Дорогомилово,ЖК River Park Кутузовский,AEON Development,https://t.me/JKRiverParkKutuz,https://t.me/JKRiverParkKutuz,Москва чаты,Москва чаты:196,main,medium,,zhk-river-park-kutuzovskiy,aeon-development,moskva,moskva,dorogomilovo
AFI Development,Москва,Москва,Москва,СВАО,Свиблово,ЖК Афи Тауэр,AFI Development,https://t.me/ZKAfiTowerChatSobstvennikov,https://t.me/ZKAfiTowerChatSobstvennikov,Москва чаты,Москва чаты:40,main,high,,zhk-afi-tauer,afi-development,moskva,moskva,sviblovo
ANT Development,Москва,Москва,Москва,ЗАО,Дорогомилово,ЖК Victory Park Recidences,ANT Development,https://t.me/JKVictoryParkRecidences,https://t.me/JKVictoryParkRecidences,Москва чаты,Москва чаты:61,main,high,,zhk-victory-park-recidences,ant-development,moskva,moskva,dorogomilovo
AVA,Другой город/регион,Краснодарский край,Сочи,,,"ЖК ""Кислород""",AVA,https://t.me/JKKislorodSosedi2,https://t.me/JKKislorodSosedi2,Сочи чаты,Сочи чаты:2,main,high,,zhk-kislorod,ava,krasnodarskiy-kray,sochi,
AVA,Другой город/регион,Краснодарский край,Сочи,,,ЖК Летний,AVA,https://t.me/JKLetniSosedi2,https://t.me/JKLetniSosedi2,Сочи чаты,Сочи чаты:3,main,high,,zhk-letniy,ava,krasnodarskiy-kray,sochi,
Arsenal,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Энфилд""",Arsenal,https://t.me/JKEnfildSosedi,https://t.me/JKEnfildSosedi,Питер чаты,Питер чаты:45,main,high,,zhk-enfild,arsenal,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Bonava,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Grona Lund""",Bonava,https://t.me/JKGronaLLundSosedi,https://t.me/JKGronaLLundSosedi,Питер чаты,Питер чаты:122,main,high,,zhk-grona-lund,bonava,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Capital Group,Москва,Москва,Москва,ЦАО,Пресненский,ЖК Кэпитал Тауэр,Capital Group,https://t.me/JKCapitalTowersChatSobstvennikov,https://t.me/JKCapitalTowersChatSobstvennikov,Москва чаты,Москва чаты:10,main,high,,zhk-kepital-tauer,capital-group,moskva,moskva,presnenskiy
City Solutions,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Министр""",City Solutions,https://t.me/jkMinistr,https://t.me/jkMinistr,Питер чаты,Питер чаты:121,main,high,,zhk-ministr,city-solutions,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Coldy,Москва,Москва,Москва,ЦАО,Хамовники,ЖК Хамовники 12,Coldy,https://t.me/ZhKKhamovniki12Sosedi,https://t.me/ZhKKhamovniki12Sosedi,Москва чаты,Москва чаты:139,main,high,,zhk-hamovniki-12,coldy,moskva,moskva,hamovniki
